Title,Year,Path,KeyContribution,KeyResults
On the Origins of SelfModeling,2020,LaTeX_Sources_Recovered/1_Core_Self_Modeling/On the Origins of SelfModeling,"Self-Modeling is the process by which an agent, such as an animal or machine, learns to create a predictive model of its own dynamics. Once captured, this self-model can then allow the agent to plan and evaluate various potential behaviors internally using the self-model, rather than using costly physical experimentation.",No numerical results found
Mip-NeRF - A Multiscale Representation for Anti-Aliasing Neural Radiance Fields,2021,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Mip-NeRF - A Multiscale Representation f,The rendering procedure used by neural radiance fields (NeRF) samples a scene with a single ray per pixel and may therefore produce renderings that are excessively blurred or aliased when training or testing images observe scene con- tent at different resolutions.,No numerical results found
Egocentric Visual Self-Modeling for Autonomous Robot Dynamics Prediction and Adaptation,2024,LaTeX_Sources/1_Core_Self_Modeling/Egocentric Visual Self-Modeling for Auto,"The ability of robots to model their own dynamics is key to autonomous planning and learning, as well as for autonomous damage detection and recovery. Traditionally, dynamic models are pre-programmed or learned from external observations.",No numerical results found
Egocentric Visual Self-Modeling for Autonomous Robot Dynamics Prediction and Adaptation,2024,LaTeX_Sources/1_Core_Self_Modeling/Egocentric Visual SelfModeling for Auton,"The ability of robots to model their own dynamics is key to autonomous planning and learning, as well as for autonomous damage detection and recovery. Traditionally, dynamic models are pre-programmed or learned from external observations.",No numerical results found
FoundationPose: Unified 6D Pose Estimation and Tracking of Novel Objects,2024,LaTeX_Sources/4_Neural_Rendering_Foundations/FoundationPose - Unified 6D Pose Estimat,"We present FoundationPose, a unified foundation model for 6D object pose estimation and tracking, supporting both model-based and model-free setups. Our approach can be instantly applied at test-time to a novel object without fine-tuning, as long as its CAD model is given, or a small number of reference images are captured.",No numerical results found
FruitNinja - Internal Texture Generation for 3D Objects,2024,LaTeX_Sources_Recovered/4_Neural_Rendering_Foundations/FruitNinja - Internal Texture Generation,"In the real world, objects reveal internal textures when sliced or cut, yet this behavior is not well-studied in 3D generation tasks today. For example, slicing a virtual 3D watermelon should reveal flesh and seeds.",No numerical results found
ManiGaussian: Dynamic Gaussian Splatting for Multi-task Robotic Manipulation,2024,LaTeX_Sources/4_Neural_Rendering_Foundations/ManiGaussian - Dynamic Gaussian Splattin,"ManiGaussian: Dynamic Gaussian Splatting for Multi-task Robotic Manipulation Guanxing Lu10000-0002-6869-7647 \and Shiyi Zhang10009-0005-8067-4025 \and Ziwei Wang2,3\Letter\Letter~ Corresponding author. 0000-0001-9225-8495 \and Changliu Liu40000-0002-3767-5517,\\ Jiwen Lu20000-0002-6121-5529 \and Yansong Tang10000-0002-1534-4549 G.",No numerical results found
Neural Implicit Representation for Building Digital Twins of\\ Unknown Articulated Objects,2024,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Neural Implicit Representation for Build,\maketitle sec/c0_abstract sec/c1_intro sec/c2_related sec/c3_method sec/c4_exp.,No numerical results found
SemiPeaucellier Linkage and Differential Mechanism for Linear Pinching and SelfAdaptive Grasping,2024,LaTeX_Sources_Recovered/2_Digital_Twins_and_Sim2Real/SemiPeaucellier Linkage and Differential,"SemiPeaucellier Linkage and Differential Mechanism for Linear Pinching and SelfAdaptive Grasping \maketitle  Abstract—This paper presents the SP-Diff parallel gripper system, addressing the limited adaptability of conventional end-effectors in intelligent industrial automation.",No numerical results found
Teaching Robots to Build Simulations of Themselves,2024,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Teaching Robots to Build Simulations of,"The emergence of vision catalyzed a pivotal evolutionary advancement, enabling organisms not only to perceive but also to interact intelligently with their environment. This transformation is mirrored by the evolution of robotic systems, where the ability to leverage vision to simulate and predict their own dynamics marks a leap towards autonomy and self-awareness.",No numerical results found
ArticulatedGS: Self-supervised Digital Twin Modeling of Articulated Objects using 3D Gaussian Splatting,2025,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/ArticulatedGS - Self-supervised Digital,%%%%%%%%% TITLE - PLEASE UPDATE ArticulatedGS: Self-supervised Digital Twin Modeling of Articulated Objects using 3D Gaussian Splatting %%%%%%%%% AUTHORS - PLEASE UPDATE % \author[1]Junfu Guo % \author[1]Yu Xin % \author[1]Gaoyi Liu % \author[2]Kai Xu % \author[1]Ligang Liu % \author[3]Ruizhen HuCorresponding author % \affil[1]University of Science and Technology of China % \affil[2]National University of Defense Technology % \affil[3]Shenzhen University Junfu Guo 1-0.,No numerical results found
Contrastive Forward Prediction Reinforcement Learning for Adaptive Fault-Tolerant Legged Robots,2025,LaTeX_Sources_Recovered/2_Digital_Twins_and_Sim2Real/Contrastive Forward Prediction Reinforce,"Contrastive Forward Prediction Reinforcement Learning for Adaptive Fault-Tolerant Legged Robots \maketitle Contrastive Forward Prediction Reinforcement Learning for Adaptive Fault-Tolerant Legged Robots Yangqing Fu1 Yang Zhang1 Qiyue Yang1 Liyun Yan1 Zhanxiang Cao1 Yue Gao1,2† 1Shanghai Jiao Tong University 2Shanghai Innovation Institute Abstract: In complex environments, adaptive and fault-tolerant capabilities are essential for legged robot locomotion.",No numerical results found
Learning on the Fly: Rapid Policy Adaptation \Differentiable Simulation,2025,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/Learning on the Fly - Rapid Policy Adapt,\maketitle % empty % empty %=============================================================================== % White paper at RPG: % 4. Tentative Title (add in comments some alternatives; how to choose a tittle: think of the must-have keywords) % Tentative abstract: % 2.,No numerical results found
MuxGel: Simultaneous Dual-Modal Visuo-Tactile Sensing via Spatially Multiplexing and Deep Reconstruction,2025,LaTeX_Sources/2_Digital_Twins_and_Sim2Real/MuxGel Simultaneous DualModal VisuoTacti,"High-fidelity visuo-tactile sensing is important for precise robotic manipulation. However, most vision-based tactile sensors face a fundamental trade-off: opaque coatings enable tactile sensing but block pre-contact vision.",No numerical results found
Presentation,2025,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Presentation,"Presentation \maketitle Real-Time Robot Self-Modeling via Direct Sensorimotor Decoding Overcoming the Neural Rendering Latency Bottleneck Muhammad Zeeshan Asghar Master’s Program in Data Science Higher School of Economics December 17, 2025 Course: Machine Learning and Data Mining Implementation Project M.",No numerical results found
Real-Time Robot Self-Modeling,2025,LaTeX_Sources_Recovered/1_Core_Self_Modeling/Real-Time Robot Self-Modeling,"Real-Time Robot Self-Modeling \maketitle Real-Time Robot Self-Modeling via Direct Sensorimotor Decoding: Overcoming the Neural Rendering Latency Bottleneck Muhammad Zeeshan Asghar Master’s Program in Data Science Higher School of Economics Moscow, Russian Federation Email: masgar@edu.",No numerical results found
